title,control_title,Mod,priority,Recommendation Steps/Approach,COST,Unnamed: 6
AppSync,AppSync graphql API logging should be enabled,Compliance,p1,"AppSync GraphQL API logging should be enabled: 1. Go to the AWS AppSync console. 2. Select the API for which you want to enable logging. 3. In the Settings section, find the Logging option. 4. Enable logging and configure the log level as needed (INFO, ERROR, etc.). https://docs.aws.amazon.com/appsync/latest/devguide/monitoring.html#monitoring-logging",Cost: None/$0 ,
Config,AWS Config should be enabled,Compliance,p1,NOT YET ADDED,,
ECR,ECR repositories should prohibit public access,Compliance,p1,"Create a repository with the default Private visibility in the ECR console, and configure access permissions using repository policies or IAM roles. Push your container images to the repository, ensuring only authorized users or services can access them.
Reference: https://docs.aws.amazon.com/AmazonECR/latest/userguide/repository-create.html",,
ECR,ECR private repositories should have tag immutability configured,Compliance,p1,"Open Amazon ECR private repository, go to the repository's settings in the ECR console, select Edit, and enable the Tag immutability option. This prevents image tags from being overwritten, ensuring version consistency and security.
Reference: https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-tag-mutability.html",,
ECS,ECS cluster instances should be in a VPC,Compliance,p1,"To place ECS cluster instances in a VPC, launch your EC2 instances within an existing VPC by selecting the VPC and appropriate subnets during the instance setup. Ensure that security groups and network settings are configured to allow proper communication between your ECS components.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/get-set-up-for-amazon-ecs.html#:~:text=You%20can%20use%20Amazon%20Virtual,task%2C%20Create%20a%20security%20group.",,
ECS,AWS ECS services should not have public IP addresses assigned to them automatically,Compliance,p1,"Navigate to the ECS console, select your cluster, and either create or update your service. In the Network Configuration section, set the service to run in a private subnet and disable the Assign Public IP option.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/ecs-controls.html#:~:text=If%20you%20launch%20your%20Amazon,to%20your%20container%20application%20servers.",,
ECS,ECS task definition containers should not have secrets passed as environment variables,Compliance,p1,"Store your sensitive data in AWS Secrets Manager by creating a new secret and noting its name or ARN. Then, update your task definition in the ECS console to reference the secret in the Secrets section instead of using environment variables.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/specifying-sensitive-data.html",,
ECS,ECS containers should run as non-privileged,Compliance,p1,"Update your task definition in the ECS console and specify a non-root user ID or username in the User field of the container definition. This configuration minimizes security risks by limiting permissions within the container.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/ecs-containers-nonprivileged.html",,
ECS,ECS containers should be limited to read-only access to root filesystems,Compliance,p1,"Update your task definition in the ECS console and enable the readonlyRootfs option by setting it to true. This configuration prevents any modifications to the filesystem, enhancing the security of the container environment.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/ecs-containers-readonly-access.html",,
ECS,ECS task definitions should not share the host's process namespace,Compliance,p1,"Update your task definition in the ECS console and create a new revision. Set the PID mode to task or leave it blank to prevent the container from accessing the host's processes, enhancing security.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/ecs-controls.html",,
